Timestamp,Jitter,Latency,Download Bandwidth,Upload Bandwidth,Download Throughput,Upload Throughput,Packet Loss
2021-12-20 11:15:08+00:00,3.635,42.726,37425386,1577484,0.22256585677899196,0.010549068260116546,0.0
2021-12-20 11:19:00+00:00,2.73,31.904,33485568,867457,0.20785605624953718,0.006666660372424657,0.0
2021-12-20 11:39:32+00:00,8.396,39.933,17396883,2697637,0.12950206315645607,0.01988042156991697,7.983193277310924
2021-12-20 12:25:55+00:00,2.201,47.643,16695729,3811785,0.10923125551395532,0.025404534012258173,0.0
2021-12-20 12:46:11+00:00,0.084,42.538,33941260,1207705,0.20739509684244792,0.00952750318744579,0.0
2021-12-20 13:45:59+00:00,3.304,46.597,17051607,2316423,0.13591676461409816,0.017249993042314966,0.0
2021-12-20 14:46:11+00:00,5.992,47.998,38812330,1623640,0.21699234107377122,0.01168646694214876,3.6666666666666665
2021-12-20 15:46:06+00:00,1.045,31.874,28452555,2448802,0.1785837056778851,0.01749231430306808,0.0
2021-12-20 16:46:10+00:00,0.101,47.882,28185837,1437410,0.17948409284147296,0.009941669323448024,0.3333333333333333
2021-12-20 17:46:06+00:00,2.06,47.955,33448567,1878408,0.21620767399254523,0.014484875018780048,0.0
2021-12-20 18:45:57+00:00,0.257,47.782,7662780,998347,0.05614815672556118,0.007722361819755508,0.0
2021-12-20 19:46:03+00:00,0.099,39.893,19961702,1094706,0.13571360522259276,0.008243435953308457,0.0
2021-12-20 20:46:11+00:00,4.671,55.873,34160365,5985327,0.22830808270657132,0.04236603750302305,0.0
2021-12-20 21:46:10+00:00,2.093,47.833,13064202,2661799,0.0892974957213172,0.018852614578464905,0.0
2021-12-20 22:46:11+00:00,0.066,47.899,32351609,3355258,0.22035333033069548,0.022102533006197488,0.6666666666666666
2021-12-20 23:46:25+00:00,11.6,46.625,22900392,2499731,0.13733334005852216,0.01770568253343004,0.0
2021-12-21 00:46:05+00:00,0.09,27.902,28726608,1542660,0.21124383882040568,0.012361684239896616,0.0
2021-12-21 01:46:09+00:00,6.054,55.892,40241217,1832219,0.22206600873637472,0.01533512958531269,0.0
2021-12-21 02:46:01+00:00,10.652,53.266,26585184,2352047,0.15167727228595407,0.018183719586705234,0.0
2021-12-21 03:46:07+00:00,0.066,46.581,36306443,3162918,0.24537084453395688,0.023102243801086247,0.0
2021-12-21 04:46:11+00:00,2.481,46.509,9319647,1112069,0.06109459762918831,0.008312057360732336,0.6666666666666666
2021-12-21 05:46:05+00:00,1.589,42.344,21268272,2396707,0.157679092857692,0.018565890548385606,0.0
2021-12-21 06:46:02+00:00,0.095,47.883,36298821,2789596,0.2538387778113734,0.022580140816642745,0.0
2021-12-21 07:46:04+00:00,0.09,31.868,36172838,1744598,0.22856349634889028,0.01363304541053148,0.0
2021-12-21 08:46:11+00:00,4.019,42.616,21819181,2171881,0.14507358584585778,0.015855660517761227,0.0
2021-12-21 09:46:09+00:00,6.53,26.68,27077229,1779179,0.18253020853832946,0.013279445043708453,0.0
2021-12-21 10:46:08+00:00,0.133,47.851,37087835,3216237,0.2644017139143723,0.023556617238438667,0.0
2021-12-21 11:46:06+00:00,4.038,39.927,29904723,1528431,0.19557830259232717,0.010763360314485182,6.0
